Player
Max Aarons
Bénie Adama Traore
Tosin Adarabioyo
Elijah Adebayo
Simon Adingra
Nayef Aguerd
Brandon Aguilera
Naouirou Ahamada
Anel Ahmedhodžić
Ola Aina
Rayan Aït Nouri
Kristoffer Ajer
Manuel Akanji
Nathan Aké
Thiago Alcántara
Trent Alexander-Arnold
Alisson
Miguel Almirón
Edson Álvarez
Julián Álvarez
Zeki Amdouni
Sofyan Amrabat
Joachim Andersen
Elliot Anderson
Jaidon Anthony
Michail Antonio
Antony
Cameron Archer
Alphonse Areola
Lorenz Assignon
Serge Aurier
Taiwo Awoniyi
Jordan Ayew
Benoît Badiashile
Leon Bailey
George Baldock
Carlos Baleba
Fodé Ballo-Touré
Shandon Baptiste
Ross Barkley
Harvey Barnes
Chris Basham
Calvin Bassey
Owen Beck
Donny van de Beek
Amari'i Bell
Jean-Ricner Bellegarde
Anis Ben Slimane
Saïd Benrahma
Rodrigo Bentancur
Daniel Bentley
Jóhann Berg Guðmundsson
Sander Berge
Luke Berry
Beto
Jordan Beyer
Philip Billing
Yves Bissouma
Benicio Boaitey
Oscar Bobb
Jayden Bogle
Willy Boly
Sven Botman
Jarrod Bowen
Conor Bradley
Jarrad Branthwaite
Ben Brereton
Rhian Brewster
Armando Broja
Andre Brooks
David Brooks
Jacob Brown
Josh Brownhill
Jacob Bruun Larsen
Hugo Bueno
Santiago Bueno
Facundo Buonanotte
Reece Burke
Dan Burn
Mason Burstow
Moisés Caicedo
Tom Cairney
Dominic Calvert-Lewin
Thomas Cannon
Diego Carlos
Cesare Casadei
Casemiro
Matty Cash
Timothy Castagne
Jonny Castro
Julio César Enciso
Trevoh Chalobah
Youssef Chermiti
Ben Chilwell
Tawanda Chirewa
Tahith Chong
Ryan Christie
Carney Chukwuemeka
Bobby Clark
Jordan Clark
Nathaniel Clyne
Séamus Coleman
Nathan Collins
Levi Colwill
Lewis Cook
Jack Cork
Maxwel Cornet
Vladimír Coufal
Philippe Coutinho
Aaron Cresswell
Marc Cucurella
Josh Cullen
Matheus Cunha
Mahmoud Dahoud
Ameen Al-Dakhil
Diogo Dalot
Mikkel Damsgaard
Danilo
Arnaut Danjuma
Josh Dasilva
David Datro Fofana
Ben Davies
Tom Davies
Craig Dawson
Kevin De Bruyne
Hannes Delcroix
