,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Match Report,Player
1151,2024-02-10,Sat,Premier League,Matchweek 24,Away,W 3–1,Sheffield Utd,Luton Town,N,FW,10.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Match Report,Rhian Brewster
1152,2024-02-18,Sun,Premier League,Matchweek 25,Home,L 0–5,Sheffield Utd,Brighton,N,FW,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Match Report,Rhian Brewster
1153,2023-09-24,Sun,Premier League,Matchweek 6,Home,L 0–1,Chelsea,Aston Villa,N,FW,12,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Match Report,Armando Broja
1154,2023-10-02,Mon,Premier League,Matchweek 7,Away,W 2–0,Chelsea,Fulham,Y,FW,64,1,0,0,1,0,0,0,,0,0,0,0,0,1,1,0,Match Report,Armando Broja
1155,2023-10-07,Sat,Premier League,Matchweek 8,Away,W 4–1,Chelsea,Burnley,Y,FW,45,1,0,0,0,1,0,0,,0,0,0,0,0,1,0,0,Match Report,Armando Broja
1156,2023-11-12,Sun,Premier League,Matchweek 12,Home,D 4–4,Chelsea,Manchester City,N,FW,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Match Report,Armando Broja
1157,2023-11-25,Sat,Premier League,Matchweek 13,Away,L 1–4,Chelsea,Newcastle Utd,N,FW,22,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,Match Report,Armando Broja
1158,2023-12-03,Sun,Premier League,Matchweek 14,Home,W 3–2,Chelsea,Brighton,N,FW,10,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Match Report,Armando Broja
1159,2023-12-06,Wed,Premier League,Matchweek 15,Away,L 1–2,Chelsea,Manchester Utd,N,LW,14,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Match Report,Armando Broja
1160,2023-12-10,Sun,Premier League,Matchweek 16,Away,L 0–2,Chelsea,Everton,Y,FW,66,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,Match Report,Armando Broja
1161,2023-12-16,Sat,Premier League,Matchweek 17,Home,W 2–0,Chelsea,Sheffield Utd,N,"FW,RW",16,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,Match Report,Armando Broja
1162,2023-12-24,Sun,Premier League,Matchweek 18,Away,L 1–2,Chelsea,Wolves,Y,FW,58,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Match Report,Armando Broja
1163,2023-12-27,Wed,Premier League,Matchweek 19,Home,W 2–1,Chelsea,Crystal Palace,N,LW,20,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Match Report,Armando Broja
1164,2023-12-30,Sat,Premier League,Matchweek 20,Away,W 3–2,Chelsea,Luton Town,Y,FW,61,0,0,0,0,0,0,1,0.0,1,1,1,0,0,0,1,0,Match Report,Armando Broja
1165,2024-01-13,Sat,Premier League,Matchweek 21,Home,W 1–0,Chelsea,Fulham,Y,FW,65,1,0,0,0,1,1,1,100.0,0,1,0,1,0,1,1,0,Match Report,Armando Broja
1166,2024-01-31,Wed,Premier League,Matchweek 22,Away,L 1–4,Chelsea,Liverpool,N,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play",Match Report,Armando Broja
1167,2024-02-03,Sat,Premier League,Matchweek 23,Away,D 2–2,Fulham,Burnley,N,FW,17,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,Match Report,Armando Broja
1168,2024-02-10,Sat,Premier League,Matchweek 24,Home,W 3–1,Fulham,Bournemouth,N,FW,16,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Match Report,Armando Broja
1169,2023-08-12,Sat,Premier League,Matchweek 1,Home,L 0–1,Sheffield Utd,Crystal Palace,N,LW,4,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,Match Report,Andre Brooks
1170,2023-08-18,Fri,Premier League,Matchweek 2,Away,L 1–2,Sheffield Utd,Nott'ham Forest,N,AM,17,0,0,0,0,0,0,0,,0,0,0,0,1,1,1,0,Match Report,Andre Brooks
1171,2023-08-27,Sun,Premier League,Matchweek 3,Home,L 1–2,Sheffield Utd,Manchester City,N,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play",Match Report,Andre Brooks
1172,2023-09-24,Sun,Premier League,Matchweek 6,Home,L 0–8,Sheffield Utd,Newcastle Utd,N,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play",Match Report,Andre Brooks
1173,2023-10-28,Sat,Premier League,Matchweek 10,Away,L 0–5,Sheffield Utd,Arsenal,N,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play",Match Report,Andre Brooks
1174,2023-11-04,Sat,Premier League,Matchweek 11,Home,W 2–1,Sheffield Utd,Wolves,N,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play",Match Report,Andre Brooks
1175,2023-11-12,Sun,Premier League,Matchweek 12,Away,D 1–1,Sheffield Utd,Brighton,N,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play",Match Report,Andre Brooks
1176,2023-12-06,Wed,Premier League,Matchweek 15,Home,L 0–2,Sheffield Utd,Liverpool,Y,WB,73,2,2,1,1,0,1,1,100.0,0,0,0,0,2,4,1,0,Match Report,Andre Brooks
1177,2023-12-09,Sat,Premier League,Matchweek 16,Home,W 1–0,Sheffield Utd,Brentford,Y,CM,72,0,0,0,0,0,0,3,0.0,3,0,0,0,2,2,0,0,Match Report,Andre Brooks
1178,2023-12-16,Sat,Premier League,Matchweek 17,Away,L 0–2,Sheffield Utd,Chelsea,Y,CM,57,1,0,0,1,0,1,3,33.3,2,1,0,1,0,1,1,0,Match Report,Andre Brooks
1179,2023-12-22,Fri,Premier League,Matchweek 18,Away,D 1–1,Sheffield Utd,Aston Villa,Y,AM,57,4,3,0,3,1,3,4,75.0,1,1,0,1,0,4,3,0,Match Report,Andre Brooks
1180,2023-12-26,Tue,Premier League,Matchweek 19,Home,L 2–3,Sheffield Utd,Luton Town,Y,CM,45,0,0,0,0,0,0,1,0.0,1,3,1,2,1,1,3,0,Match Report,Andre Brooks
1181,2023-12-30,Sat,Premier League,Matchweek 20,Away,L 0–2,Sheffield Utd,Manchester City,Y,AM,79,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0,Match Report,Andre Brooks
1182,2024-01-21,Sun,Premier League,Matchweek 21,Home,D 2–2,Sheffield Utd,West Ham,Y,CM,79,0,0,0,0,0,0,0,,0,2,0,2,3,3,1,0,Match Report,Andre Brooks
1183,2024-01-30,Tue,Premier League,Matchweek 22,Away,L 2–3,Sheffield Utd,Crystal Palace,N,CM,45,1,1,0,1,0,0,0,,0,0,0,0,0,1,1,0,Match Report,Andre Brooks
1184,2024-02-03,Sat,Premier League,Matchweek 23,Home,L 0–5,Sheffield Utd,Aston Villa,Y,CM,49,1,1,0,1,0,0,0,,0,2,0,2,0,1,0,0,Match Report,Andre Brooks
1185,2024-02-10,Sat,Premier League,Matchweek 24,Away,W 3–1,Sheffield Utd,Luton Town,N,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play",Match Report,Andre Brooks
1186,2024-02-18,Sun,Premier League,Matchweek 25,Home,L 0–5,Sheffield Utd,Brighton,N,"DM,WB",28,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Match Report,Andre Brooks
1187,2023-08-12,Sat,Premier League,Matchweek 1,Home,D 1–1,Bournemouth,West Ham,Y,RW,74,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Match Report,David Brooks
1188,2023-08-19,Sat,Premier League,Matchweek 2,Away,L 1–3,Bournemouth,Liverpool,N,RW,15,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Match Report,David Brooks
1189,2023-08-26,Sat,Premier League,Matchweek 3,Home,L 0–2,Bournemouth,Tottenham,N,"RW,RM",18,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,0,0,Match Report,David Brooks
1190,2023-09-02,Sat,Premier League,Matchweek 4,Away,D 2–2,Bournemouth,Brentford,N,"RW,RM",31,0,0,0,0,0,0,0,,0,1,0,1,0,0,2,0,Match Report,David Brooks
1191,2023-09-17,Sun,Premier League,Matchweek 5,Home,D 0–0,Bournemouth,Chelsea,N,AM,2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Match Report,David Brooks
1192,2023-09-24,Sun,Premier League,Matchweek 6,Away,L 1–3,Bournemouth,Brighton,N,"RW,DM",9,1,1,0,1,0,1,1,100.0,0,0,0,0,0,1,0,0,Match Report,David Brooks
1193,2023-09-30,Sat,Premier League,Matchweek 7,Home,L 0–4,Bournemouth,Arsenal,N,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play",Match Report,David Brooks
1194,2023-10-07,Sat,Premier League,Matchweek 8,Away,L 0–3,Bournemouth,Everton,N,RM,24,0,0,0,0,0,0,1,0.0,1,1,0,1,1,1,0,0,Match Report,David Brooks
1195,2023-10-21,Sat,Premier League,Matchweek 9,Home,L 1–2,Bournemouth,Wolves,Y,RW,56,2,2,1,0,1,0,0,,0,0,0,0,1,3,0,0,Match Report,David Brooks
1196,2023-10-28,Sat,Premier League,Matchweek 10,Home,W 2–1,Bournemouth,Burnley,N,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play",Match Report,David Brooks
1197,2023-11-04,Sat,Premier League,Matchweek 11,Away,L 1–6,Bournemouth,Manchester City,N,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play",Match Report,David Brooks
1198,2023-11-11,Sat,Premier League,Matchweek 12,Home,W 2–0,Bournemouth,Newcastle Utd,N,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play",Match Report,David Brooks
1199,2023-11-25,Sat,Premier League,Matchweek 13,Away,W 3–1,Bournemouth,Sheffield Utd,N,"RW,LW",9,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Match Report,David Brooks
1200,2023-12-03,Sun,Premier League,Matchweek 14,Home,D 2–2,Bournemouth,Aston Villa,N,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play",Match Report,David Brooks
1201,2023-12-06,Wed,Premier League,Matchweek 15,Away,W 2–0,Bournemouth,Crystal Palace,N,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play",Match Report,David Brooks
1202,2023-12-09,Sat,Premier League,Matchweek 16,Away,W 3–0,Bournemouth,Manchester Utd,N,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play",Match Report,David Brooks
1203,2023-12-23,Sat,Premier League,Matchweek 18,Away,W 3–2,Bournemouth,Nott'ham Forest,N,AM,10,1,0,0,0,1,0,0,,0,0,0,0,0,1,0,0,Match Report,David Brooks
1204,2023-12-26,Tue,Premier League,Matchweek 19,Home,W 3–0,Bournemouth,Fulham,N,RW,3,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,Match Report,David Brooks
1205,2023-12-31,Sun,Premier League,Matchweek 20,Away,L 1–3,Bournemouth,Tottenham,N,RW,9,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,Match Report,David Brooks
1206,2024-01-21,Sun,Premier League,Matchweek 21,Home,L 0–4,Bournemouth,Liverpool,N,RW,22,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Match Report,David Brooks
1207,2023-08-12,Sat,Premier League,Matchweek 1,Away,L 1–4,Luton Town,Brighton,N,FW,27,1,0,0,0,1,0,0,,0,1,0,1,0,1,1,0,Match Report,Jacob Brown
1208,2023-08-25,Fri,Premier League,Matchweek 3,Away,L 0–3,Luton Town,Chelsea,N,"RW,FW",21,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Match Report,Jacob Brown
1209,2023-09-01,Fri,Premier League,Matchweek 4,Home,L 1–2,Luton Town,West Ham,N,FW,20,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Match Report,Jacob Brown
1210,2023-09-16,Sat,Premier League,Matchweek 5,Away,L 0–1,Luton Town,Fulham,Y,FW,73,3,3,1,2,0,1,1,100.0,0,2,0,2,2,5,2,0,Match Report,Jacob Brown
1211,2023-09-23,Sat,Premier League,Matchweek 6,Home,D 1–1,Luton Town,Wolves,Y,RW,71,1,0,0,1,0,0,2,0.0,2,0,0,0,0,1,1,0,Match Report,Jacob Brown
1212,2023-09-30,Sat,Premier League,Matchweek 7,Away,W 2–1,Luton Town,Everton,Y,AM,90,0,0,0,0,0,0,2,0.0,2,2,0,2,1,1,1,0,Match Report,Jacob Brown
1213,2023-10-03,Tue,Premier League,Matchweek 2,Home,L 1–2,Luton Town,Burnley,Y,AM,68,1,1,1,0,0,1,1,100.0,0,1,0,1,1,2,0,0,Match Report,Jacob Brown
1214,2023-10-07,Sat,Premier League,Matchweek 8,Home,L 0–1,Luton Town,Tottenham,Y,RM,65,0,0,0,0,0,0,0,,0,2,0,2,0,0,0,0,Match Report,Jacob Brown
1215,2023-10-21,Sat,Premier League,Matchweek 9,Away,D 2–2,Luton Town,Nott'ham Forest,Y,FW,71,0,0,0,0,0,0,1,0.0,1,2,0,2,0,0,1,0,Match Report,Jacob Brown
1216,2023-10-29,Sun,Premier League,Matchweek 10,Away,L 1–3,Luton Town,Aston Villa,Y,AM,57,1,0,0,1,0,0,0,,0,1,1,0,0,1,1,0,Match Report,Jacob Brown
1217,2023-11-05,Sun,Premier League,Matchweek 11,Home,D 1–1,Luton Town,Liverpool,N,AM,12,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,Match Report,Jacob Brown
1218,2023-11-11,Sat,Premier League,Matchweek 12,Away,L 0–1,Luton Town,Manchester Utd,N,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play",Match Report,Jacob Brown
1219,2023-11-25,Sat,Premier League,Matchweek 13,Home,W 2–1,Luton Town,Crystal Palace,N,AM,12,1,0,0,0,1,0,1,0.0,1,0,0,0,1,2,1,0,Match Report,Jacob Brown
1220,2023-12-02,Sat,Premier League,Matchweek 14,Away,L 1–3,Luton Town,Brentford,N,"WB,AM",45,2,2,1,1,0,0,2,0.0,2,1,0,1,0,2,3,0,Match Report,Jacob Brown
1221,2023-12-05,Tue,Premier League,Matchweek 15,Home,L 3–4,Luton Town,Arsenal,Y,AM,60,4,3,3,1,0,3,3,100.0,0,1,0,1,0,4,0,0,Match Report,Jacob Brown
1222,2023-12-10,Sun,Premier League,Matchweek 16,Home,L 1–2,Luton Town,Manchester City,Y,"LW,RB",90,1,1,0,0,1,0,0,,0,1,0,1,2,3,0,0,Match Report,Jacob Brown
1223,2023-12-23,Sat,Premier League,Matchweek 18,Home,W 1–0,Luton Town,Newcastle Utd,Y,AM,90,1,0,1,0,0,0,0,,0,0,0,0,0,1,2,0,Match Report,Jacob Brown
1224,2023-12-26,Tue,Premier League,Matchweek 19,Away,W 3–2,Luton Town,Sheffield Utd,Y,AM,90,1,0,0,1,0,0,2,0.0,2,4,0,4,0,1,8,0,Match Report,Jacob Brown
1225,2023-12-30,Sat,Premier League,Matchweek 20,Home,L 2–3,Luton Town,Chelsea,Y,AM,45,2,2,0,0,2,2,3,66.7,1,0,0,0,1,3,0,0,Match Report,Jacob Brown
1226,2024-02-03,Sat,Premier League,Matchweek 23,Away,D 4–4,Luton Town,Newcastle Utd,N,AM,12,0,0,0,0,0,0,0,,0,1,0,1,0,0,1,0,Match Report,Jacob Brown
1227,2024-02-10,Sat,Premier League,Matchweek 24,Home,L 1–3,Luton Town,Sheffield Utd,N,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play",Match Report,Jacob Brown
1228,2023-08-11,Fri,Premier League,Matchweek 1,Home,L 0–3,Burnley,Manchester City,N,CM,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Match Report,Josh Brownhill
1229,2023-08-27,Sun,Premier League,Matchweek 3,Home,L 1–3,Burnley,Aston Villa,N,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play",Match Report,Josh Brownhill
1230,2023-09-02,Sat,Premier League,Matchweek 4,Home,L 2–5,Burnley,Tottenham,N,CM,45,1,1,1,0,0,0,0,,0,0,0,0,0,1,0,0,Match Report,Josh Brownhill
1231,2023-09-18,Mon,Premier League,Matchweek 5,Away,D 1–1,Burnley,Nott'ham Forest,Y*,DM,90,2,2,0,0,2,2,2,100.0,0,0,0,0,2,4,2,0,Match Report,Josh Brownhill
1232,2023-09-23,Sat,Premier League,Matchweek 6,Home,L 0–1,Burnley,Manchester Utd,Y*,LM,85,2,2,0,1,1,1,1,100.0,0,1,0,1,0,2,2,0,Match Report,Josh Brownhill
1233,2023-09-30,Sat,Premier League,Matchweek 7,Away,L 0–2,Burnley,Newcastle Utd,Y*,AM,90,2,1,0,2,0,0,0,,0,3,1,2,1,3,0,0,Match Report,Josh Brownhill
1234,2023-10-03,Tue,Premier League,Matchweek 2,Away,W 2–1,Burnley,Luton Town,Y*,LM,90,1,1,0,1,0,1,3,33.3,2,0,0,0,1,2,3,0,Match Report,Josh Brownhill
1235,2023-10-07,Sat,Premier League,Matchweek 8,Home,L 1–4,Burnley,Chelsea,Y*,LM,90,2,2,1,1,0,0,1,0.0,1,0,0,0,2,4,3,0,Match Report,Josh Brownhill
1236,2023-10-21,Sat,Premier League,Matchweek 9,Away,L 0–3,Burnley,Brentford,N,DM,25,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,Match Report,Josh Brownhill
1237,2023-10-28,Sat,Premier League,Matchweek 10,Away,L 1–2,Burnley,Bournemouth,Y*,"LM,DM",90,5,4,2,3,0,2,2,100.0,0,1,1,0,1,6,1,0,Match Report,Josh Brownhill
1238,2023-11-04,Sat,Premier League,Matchweek 11,Home,L 0–2,Burnley,Crystal Palace,Y*,CM,90,1,1,1,0,0,0,0,,0,0,0,0,2,3,0,0,Match Report,Josh Brownhill
1239,2023-11-11,Sat,Premier League,Matchweek 12,Away,L 1–3,Burnley,Arsenal,Y*,CM,84,0,0,0,0,0,0,0,,0,1,0,1,1,1,3,0,Match Report,Josh Brownhill
1240,2023-11-25,Sat,Premier League,Matchweek 13,Home,L 1–2,Burnley,West Ham,Y*,CM,90,2,1,0,1,1,2,4,50.0,2,2,0,2,2,4,1,0,Match Report,Josh Brownhill
1241,2023-12-02,Sat,Premier League,Matchweek 14,Home,W 5–0,Burnley,Sheffield Utd,Y*,CM,90,3,1,1,1,1,3,3,100.0,0,0,0,0,1,4,1,0,Match Report,Josh Brownhill
1242,2023-12-05,Tue,Premier League,Matchweek 15,Away,L 0–1,Burnley,Wolves,Y*,CM,90,0,0,0,0,0,0,0,,0,3,0,3,4,4,2,0,Match Report,Josh Brownhill
1243,2023-12-09,Sat,Premier League,Matchweek 16,Away,D 1–1,Burnley,Brighton,Y*,CM,90,4,4,1,3,0,3,3,100.0,0,1,0,1,4,8,0,0,Match Report,Josh Brownhill
1244,2023-12-16,Sat,Premier League,Matchweek 17,Home,L 0–2,Burnley,Everton,Y*,CM,90,4,2,1,1,2,1,2,50.0,1,2,0,2,0,4,1,0,Match Report,Josh Brownhill
1245,2023-12-23,Sat,Premier League,Matchweek 18,Away,W 2–0,Burnley,Fulham,Y*,CM,90,3,3,1,2,0,1,1,100.0,0,2,0,2,0,3,1,0,Match Report,Josh Brownhill
1246,2023-12-26,Tue,Premier League,Matchweek 19,Home,L 0–2,Burnley,Liverpool,Y*,CM,89,1,1,1,0,0,0,1,0.0,1,1,0,1,1,2,1,0,Match Report,Josh Brownhill
1247,2023-12-30,Sat,Premier League,Matchweek 20,Away,L 2–3,Burnley,Aston Villa,Y*,CM,90,2,0,1,1,0,1,1,100.0,0,2,1,1,1,3,0,0,Match Report,Josh Brownhill
1248,2024-01-12,Fri,Premier League,Matchweek 21,Home,D 1–1,Burnley,Luton Town,Y*,CM,90,4,2,2,2,0,0,0,,0,1,0,1,2,6,3,0,Match Report,Josh Brownhill
1249,2024-01-31,Wed,Premier League,Matchweek 22,Away,L 1–3,Burnley,Manchester City,Y*,CM,90,2,0,1,0,1,0,0,,0,1,1,0,0,2,1,0,Match Report,Josh Brownhill
1250,2024-02-03,Sat,Premier League,Matchweek 23,Home,D 2–2,Burnley,Fulham,Y*,RM,90,2,2,1,1,0,1,1,100.0,0,2,0,2,1,3,1,1,Match Report,Josh Brownhill
1251,2024-02-10,Sat,Premier League,Matchweek 24,Away,L 1–3,Burnley,Liverpool,Y*,CM,90,1,1,0,1,0,1,1,100.0,0,3,3,0,0,1,1,0,Match Report,Josh Brownhill
1252,2024-02-17,Sat,Premier League,Matchweek 25,Home,L 0–5,Burnley,Arsenal,Y*,CM,90,3,0,2,0,1,1,1,100.0,0,2,0,2,2,5,2,0,Match Report,Josh Brownhill
1253,2023-08-11,Fri,Premier League,Matchweek 1,Home,L 0–3,Burnley,Manchester City,N,RM,30,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Match Report,Jacob Bruun Larsen
1254,2023-08-27,Sun,Premier League,Matchweek 3,Home,L 1–3,Burnley,Aston Villa,N,WB,10,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Match Report,Jacob Bruun Larsen
1255,2023-09-02,Sat,Premier League,Matchweek 4,Home,L 2–5,Burnley,Tottenham,N,"LM,AM",23,1,0,0,0,1,1,2,50.0,1,0,0,0,0,1,1,0,Match Report,Jacob Bruun Larsen
